Date,User Type,Total
2020-11-17,AS_TEACHERS,938
2020-11-16,AS_NON-EDITING-TEACHERS,1173
2020-11-16,AS_STUDENT,4157
2020-11-16,AS_TEACHERS,1850
2020-09-13,AS_NON-EDITING-TEACHERS,580
2020-09-13,AS_STUDENT,13635
2020-09-13,AS_TEACHERS,3133
2020-11-14,AS_NON-EDITING-TEACHERS,293
2020-11-14,AS_STUDENT,6838
2020-11-14,AS_TEACHERS,2750
2020-10-12,AS_NON-EDITING-TEACHERS,2569
2020-10-12,AS_STUDENT,24703
2020-10-12,AS_TEACHERS,5317
2020-11-13,AS_NON-EDITING-TEACHERS,130
2020-11-13,AS_STUDENT,7676
2020-11-13,AS_TEACHERS,1736
2020-11-02,AS_NON-EDITING-TEACHERS,1245
2020-11-02,AS_STUDENT,9770
2020-11-02,AS_TEACHERS,5597
2020-11-12,AS_NON-EDITING-TEACHERS,198
2020-11-12,AS_STUDENT,6686
2020-11-12,AS_TEACHERS,2641
2020-11-07,AS_NON-EDITING-TEACHERS,278
2020-11-07,AS_STUDENT,9586
2020-11-07,AS_TEACHERS,5473
2020-11-28,AS_NON-EDITING-TEACHERS,216
2020-11-28,AS_STUDENT,24603
2020-11-28,AS_TEACHERS,1279
2020-11-10,AS_NON-EDITING-TEACHERS,666
2020-11-10,AS_STUDENT,16319
2020-11-10,AS_TEACHERS,4448
2020-11-03,AS_NON-EDITING-TEACHERS,2291
2020-11-03,AS_STUDENT,25686
2020-11-03,AS_TEACHERS,8917
2020-11-06,AS_NON-EDITING-TEACHERS,2196
2020-11-06,AS_STUDENT,21539
2020-11-06,AS_TEACHERS,9912
2020-11-11,AS_NON-EDITING-TEACHERS,633
2020-11-11,AS_STUDENT,21504
2020-11-11,AS_TEACHERS,10173
2020-11-05,AS_NON-EDITING-TEACHERS,965
2020-11-05,AS_STUDENT,25559
2020-11-05,AS_TEACHERS,6603
2020-11-04,AS_NON-EDITING-TEACHERS,2308
2020-11-04,AS_STUDENT,30891
2020-11-04,AS_TEACHERS,16206
